treebank	n	D	Drla	Dmin
fra	41	111	560	80
fra	28	70	261	47
fra	17	35	96	26
fra	22	47	161	36
fra	35	108	408	66
fra	26	71	225	51
fra	28	63	261	53
fra	21	72	146.667	34
fra	24	57	191.667	41
fra	23	65	176	37
fra	12	20	47.6667	17
fra	6	13	11.6667	7
fra	18	34	107.667	29
fra	26	57	225	48
fra	26	67	225	45
fra	17	29	96	27
fra	16	37	85	25
fra	23	57	176	42
fra	30	60	299.667	51
fra	20	47	133	34
fra	29	54	280	47
fra	11	24	40	15
fra	13	26	56	20
fra	16	30	85	23
fra	35	85	408	66
fra	21	44	146.667	37
fra	12	24	47.6667	16
fra	20	51	133	35
fra	19	40	120	29
fra	19	46	120	31
fra	16	36	85	25
fra	10	19	33	11
fra	13	28	56	20
fra	6	11	11.6667	7
fra	28	76	261	59
fra	16	36	85	27
fra	9	18	26.6667	12
fra	26	65	225	49
fra	7	8	16	7
fra	17	46	96	27
fra	11	24	40	14
fra	23	50	176	38
fra	14	33	65	23
fra	15	34	74.6667	24
fra	18	40	107.667	29
fra	17	37	96	29
fra	17	36	96	26
fra	23	43	176	38
fra	22	47	161	36
fra	8	16	21	10
fra	10	18	33	13
fra	18	31	107.667	30
fra	14	26	65	22
fra	30	77	299.667	51
fra	24	51	191.667	39
fra	26	59	225	48
fra	8	11	21	9
fra	16	35	85	25
fra	22	39	161	34
fra	33	91	362.667	65
fra	22	50	161	35
fra	11	24	40	16
fra	26	62	225	42
fra	32	95	341	59
fra	15	35	74.6667	24
fra	37	88	456	69
fra	26	60	225	46
fra	14	32	65	22
fra	18	42	107.667	30
fra	26	49	225	42
fra	19	43	120	31
fra	4	6	5	3
fra	18	37	107.667	31
fra	13	34	56	24
fra	28	62	261	52
fra	8	12	21	9
fra	22	66	161	34
fra	21	42	146.667	33
fra	17	43	96	26
fra	21	42	146.667	37
fra	27	64	242.667	47
fra	29	94	280	56
fra	32	120	341	62
fra	33	109	362.667	54
fra	38	88	481	73
fra	6	9	11.6667	7
fra	9	15	26.6667	12
fra	39	98	506.667	73
fra	27	69	242.667	43
fra	23	58	176	42
fra	27	69	242.667	52
fra	13	27	56	20
fra	5	7	8	5
fra	24	74	191.667	46
fra	27	70	242.667	53
fra	13	25	56	24
fra	10	18	33	14
fra	23	41	176	31
fra	30	76	299.667	51
fra	26	58	225	48
fra	29	69	280	49
fra	12	21	47.6667	17
fra	13	24	56	18
fra	10	20	33	14
fra	36	96	431.667	70
fra	45	165	674.667	99
fra	14	29	65	21
fra	20	34	133	30
fra	24	56	191.667	40
fra	20	53	133	32
fra	12	21	47.6667	17
fra	26	61	225	50
fra	9	15	26.6667	12
fra	23	59	176	35
fra	17	37	96	30
fra	19	45	120	38
fra	18	36	107.667	30
fra	12	25	47.6667	19
fra	26	60	225	46
fra	12	22	47.6667	17
fra	40	93	533	73
fra	39	97	506.667	67
fra	27	53	242.667	47
fra	20	40	133	31
fra	41	119	560	81
fra	33	92	362.667	60
fra	17	30	96	26
fra	21	63	146.667	40
fra	25	55	208	44
fra	9	22	26.6667	11
fra	25	63	208	39
fra	16	31	85	24
fra	28	72	261	48
fra	15	30	74.6667	23
fra	38	95	481	76
fra	28	75	261	57
fra	16	29	85	24
fra	8	9	21	8
fra	51	150	866.667	119
fra	19	51	120	33
fra	21	44	146.667	33
fra	27	71	242.667	52
fra	5	4	8	4
fra	17	35	96	28
fra	32	83	341	59
fra	16	27	85	22
fra	16	43	85	26
fra	18	52	107.667	32
fra	23	61	176	38
fra	10	18	33	15
fra	13	26	56	20
fra	13	23	56	20
fra	22	47	161	40
fra	19	38	120	32
fra	9	17	26.6667	12
fra	12	30	47.6667	20
fra	23	50	176	33
fra	18	35	107.667	25
fra	8	11	21	10
fra	21	35	146.667	30
fra	10	23	33	14
fra	22	70	161	42
fra	17	43	96	29
fra	13	22	56	17
fra	10	18	33	16
fra	27	89	242.667	50
fra	24	51	191.667	42
fra	17	34	96	28
fra	37	92	456	74
fra	9	20	26.6667	14
fra	18	39	107.667	30
fra	24	58	191.667	42
fra	23	53	176	42
fra	15	28	74.6667	23
fra	17	32	96	28
fra	14	29	65	21
fra	15	30	74.6667	24
fra	28	68	261	54
fra	18	38	107.667	30
fra	12	24	47.6667	18
fra	24	63	191.667	42
fra	17	30	96	25
fra	28	67	261	49
fra	9	16	26.6667	14
fra	20	40	133	35
fra	12	17	47.6667	16
fra	21	76	146.667	36
fra	19	53	120	30
fra	23	48	176	39
fra	18	27	107.667	26
fra	24	85	191.667	42
fra	26	63	225	46
fra	31	99	320	63
fra	18	42	107.667	31
fra	38	95	481	76
fra	25	72	208	45
fra	15	42	74.6667	27
fra	21	42	146.667	37
fra	21	53	146.667	39
fra	11	16	40	15
fra	22	58	161	38
fra	21	49	146.667	35
fra	12	19	47.6667	17
fra	14	27	65	23
fra	33	80	362.667	57
fra	24	62	191.667	44
fra	30	70	299.667	50
fra	28	81	261	43
fra	25	82	208	48
fra	16	46	85	24
fra	20	48	133	36
fra	37	111	456	75
fra	22	52	161	36
fra	22	47	161	37
fra	23	67	176	45
fra	12	25	47.6667	19
fra	15	43	74.6667	32
fra	17	32	96	26
fra	30	70	299.667	49
fra	14	28	65	19
fra	17	32	96	26
fra	19	39	120	31
fra	12	24	47.6667	18
fra	12	23	47.6667	18
fra	19	41	120	28
fra	25	49	208	39
fra	15	39	74.6667	29
fra	27	59	242.667	43
fra	9	13	26.6667	12
fra	14	31	65	23
fra	25	59	208	43
fra	13	29	56	20
fra	20	43	133	34
fra	23	59	176	39
fra	28	59	261	49
fra	27	61	242.667	52
fra	18	31	107.667	26
fra	11	19	40	15
fra	20	44	133	35
fra	15	26	74.6667	23
fra	19	35	120	28
fra	37	97	456	71
fra	17	34	96	24
fra	12	21	47.6667	18
fra	30	78	299.667	59
fra	12	21	47.6667	17
fra	16	41	85	22
fra	17	33	96	27
fra	16	40	85	23
fra	20	41	133	33
fra	25	49	208	42
fra	18	32	107.667	27
fra	16	31	85	22
fra	30	70	299.667	57
fra	17	32	96	26
fra	38	111	481	76
fra	18	36	107.667	31
fra	30	83	299.667	62
fra	34	101	385	67
fra	20	36	133	30
fra	12	17	47.6667	16
fra	17	30	96	25
fra	19	39	120	32
fra	39	108	506.667	85
fra	24	54	191.667	45
fra	37	93	456	75
fra	22	47	161	38
fra	25	66	208	44
fra	22	43	161	36
fra	20	50	133	36
fra	37	88	456	66
fra	36	104	431.667	80
fra	34	84	385	64
fra	25	57	208	46
fra	51	202	866.667	95
fra	22	51	161	35
fra	11	16	40	15
fra	22	51	161	39
fra	40	117	533	72
fra	27	58	242.667	44
fra	24	60	191.667	44
fra	18	40	107.667	31
fra	26	62	225	48
fra	11	15	40	14
fra	12	28	47.6667	17
fra	26	82	225	47
fra	18	37	107.667	28
fra	38	113	481	75
fra	23	58	176	40
fra	39	166	506.667	77
fra	29	79	280	56
fra	11	21	40	15
fra	19	46	120	27
fra	39	114	506.667	70
fra	15	35	74.6667	26
fra	22	51	161	39
fra	17	32	96	28
fra	13	19	56	18
fra	25	66	208	40
fra	23	59	176	36
fra	18	34	107.667	28
fra	12	25	47.6667	17
fra	31	83	320	57
fra	18	35	107.667	30
fra	46	112	705	91
fra	16	32	85	25
fra	20	44	133	32
fra	49	143	800	105
fra	12	22	47.6667	16
fra	32	86	341	61
fra	8	12	21	12
fra	14	24	65	21
fra	8	13	21	10
fra	8	13	21	11
fra	11	26	40	16
fra	22	57	161	39
fra	23	56	176	37
fra	35	88	408	70
fra	24	67	191.667	42
fra	14	23	65	20
fra	47	146	736	110
fra	14	30	65	20
fra	16	28	85	23
fra	9	15	26.6667	11
fra	25	64	208	44
fra	21	51	146.667	34
fra	16	36	85	27
fra	18	34	107.667	27
fra	21	51	146.667	38
fra	19	41	120	33
fra	20	41	133	32
fra	27	59	242.667	46
fra	20	44	133	35
fra	30	70	299.667	54
fra	28	77	261	52
fra	25	68	208	40
fra	14	25	65	20
fra	27	68	242.667	47
fra	19	42	120	34
fra	18	42	107.667	31
fra	23	50	176	37
fra	21	49	146.667	35
fra	26	75	225	54
fra	25	50	208	42
fra	43	139	616	89
fra	11	18	40	15
fra	53	145	936	110
fra	36	79	431.667	64
fra	19	54	120	31
fra	15	30	74.6667	27
fra	17	33	96	24
fra	19	38	120	33
fra	37	92	456	72
fra	28	67	261	52
fra	25	61	208	45
fra	24	62	191.667	44
fra	20	43	133	35
fra	20	48	133	35
fra	29	79	280	52
fra	19	51	120	28
fra	13	26	56	18
fra	20	45	133	31
fra	48	205	767.667	110
fra	19	42	120	30
fra	14	24	65	20
fra	31	82	320	53
fra	15	35	74.6667	21
fra	35	81	408	65
fra	19	42	120	33
fra	19	43	120	29
fra	21	46	146.667	38
fra	18	37	107.667	29
fra	30	91	299.667	57
fra	36	89	431.667	63
fra	17	43	96	31
fra	40	122	533	85
fra	9	13	26.6667	11
fra	17	43	96	28
fra	28	74	261	58
fra	12	29	47.6667	18
fra	12	27	47.6667	20
fra	16	32	85	26
fra	33	74	362.667	61
fra	26	60	225	44
fra	21	55	146.667	41
fra	33	75	362.667	56
fra	26	54	225	46
fra	21	51	146.667	34
fra	37	134	456	69
fra	21	45	146.667	34
fra	12	21	47.6667	19
fra	49	128	800	91
fra	33	85	362.667	65
fra	22	42	161	37
fra	24	50	191.667	42
fra	30	68	299.667	51
fra	30	75	299.667	59
fra	21	42	146.667	34
fra	29	66	280	51
fra	28	64	261	48
fra	28	63	261	47
fra	18	35	107.667	27
fra	17	43	96	28
fra	32	69	341	59
fra	6	9	11.6667	7
fra	18	36	107.667	26
fra	17	30	96	25
fra	29	76	280	52
fra	23	49	176	36
fra	30	73	299.667	53
fra	16	31	85	25
fra	23	56	176	42
fra	20	46	133	35
fra	8	11	21	10
fra	7	10	16	8
fra	12	27	47.6667	19
fra	37	104	456	76
fra	13	34	56	20
fra	18	39	107.667	32
fra	15	27	74.6667	24
fra	24	60	191.667	42
fra	24	50	191.667	39
fra	15	44	74.6667	21
fra	18	36	107.667	31
fra	10	21	33	14
fra	26	63	225	46
fra	33	83	362.667	60
fra	52	172	901	108
fra	31	78	320	54
fra	40	111	533	79
fra	16	29	85	23
fra	17	29	96	25
fra	38	91	481	71
fra	22	51	161	40
fra	13	23	56	18
fra	19	40	120	32
fra	28	81	261	50
fra	28	79	261	56
fra	12	21	47.6667	16
fra	8	12	21	10
fra	17	42	96	29
fra	43	114	616	88
fra	26	59	225	47
fra	7	11	16	8
fra	21	49	146.667	38
fra	17	35	96	27
fra	29	58	280	51
fra	10	17	33	14
fra	29	80	280	57
fra	7	10	16	8
fra	21	58	146.667	40
fra	30	70	299.667	55
fra	10	15	33	15
fra	23	47	176	40
fra	13	28	56	18
fra	11	22	40	15
fra	33	74	362.667	60
fra	23	51	176	43
fra	23	48	176	37
fra	23	42	176	38
fra	29	94	280	57
fra	32	102	341	58
fra	23	65	176	42
fra	17	36	96	25
fra	15	24	74.6667	22
fra	24	49	191.667	43
fra	26	67	225	53
fra	26	68	225	47
fra	38	121	481	81
fra	13	26	56	20
fra	33	72	362.667	58
fra	25	67	208	47
fra	32	83	341	62
fra	30	92	299.667	49
fra	21	46	146.667	34
fra	23	50	176	46
fra	14	27	65	20
fra	24	62	191.667	46
fra	25	68	208	45
fra	12	26	47.6667	16
fra	22	51	161	41
fra	41	142	560	80
fra	16	29	85	24
fra	32	91	341	63
fra	36	82	431.667	64
fra	19	45	120	32
fra	25	52	208	44
fra	26	52	225	45
fra	19	52	120	34
fra	27	71	242.667	44
fra	29	71	280	59
fra	40	126	533	84
fra	35	98	408	76
fra	40	124	533	76
fra	50	124	833	102
fra	15	29	74.6667	24
fra	33	96	362.667	65
fra	11	18	40	16
fra	24	72	191.667	42
fra	13	25	56	19
fra	25	62	208	47
fra	17	30	96	24
fra	28	56	261	48
fra	20	35	133	32
fra	20	34	133	31
fra	11	18	40	15
fra	14	29	65	25
fra	15	28	74.6667	23
fra	18	39	107.667	29
fra	15	36	74.6667	23
fra	18	36	107.667	30
fra	15	25	74.6667	21
fra	22	40	161	36
fra	26	48	225	42
fra	15	36	74.6667	27
fra	15	32	74.6667	24
fra	36	76	431.667	67
fra	24	47	191.667	40
fra	19	37	120	30
fra	23	47	176	42
fra	14	29	65	21
fra	33	90	362.667	64
fra	5	6	8	5
fra	10	18	33	13
fra	44	172	645	86
fra	17	35	96	28
fra	17	28	96	23
fra	14	25	65	21
fra	25	57	208	43
fra	28	62	261	45
fra	16	30	85	25
fra	27	61	242.667	51
fra	32	90	341	64
fra	33	81	362.667	65
fra	32	82	341	60
fra	41	114	560	89
fra	24	49	191.667	42
fra	37	95	456	70
fra	32	75	341	54
fra	21	48	146.667	35
fra	14	23	65	19
fra	27	66	242.667	47
fra	13	29	56	20
fra	24	73	191.667	40
fra	21	44	146.667	36
fra	16	32	85	26
fra	8	14	21	10
fra	15	32	74.6667	22
fra	43	120	616	89
fra	25	66	208	46
fra	24	66	191.667	43
fra	25	56	208	49
fra	28	76	261	53
fra	21	53	146.667	36
fra	11	20	40	16
fra	31	67	320	57
fra	31	72	320	52
fra	19	36	120	32
fra	43	129	616	89
fra	32	72	341	62
fra	26	61	225	47
fra	11	22	40	18
fra	34	94	385	69
fra	14	28	65	20
fra	17	33	96	29
fra	25	65	208	50
fra	24	55	191.667	46
fra	21	50	146.667	35
fra	36	94	431.667	78
fra	16	28	85	25
fra	20	44	133	34
fra	24	59	191.667	43
fra	27	70	242.667	50
fra	30	63	299.667	52
fra	30	76	299.667	57
fra	13	28	56	21
fra	24	50	191.667	36
fra	30	60	299.667	49
fra	37	88	456	64
fra	19	33	120	30
fra	23	58	176	42
fra	30	60	299.667	51
fra	25	58	208	46
fra	19	53	120	32
fra	9	16	26.6667	12
fra	34	74	385	61
fra	7	11	16	7
fra	13	25	56	20
fra	25	59	208	49
fra	36	107	431.667	68
fra	16	36	85	29
fra	34	76	385	59
fra	30	66	299.667	56
fra	29	66	280	51
fra	18	34	107.667	28
fra	27	66	242.667	47
fra	12	25	47.6667	17
fra	22	49	161	40
fra	46	120	705	91
fra	15	27	74.6667	24
fra	21	40	146.667	35
fra	23	59	176	45
fra	37	89	456	73
fra	30	62	299.667	51
fra	15	28	74.6667	23
fra	27	74	242.667	50
fra	21	44	146.667	35
fra	34	86	385	63
fra	42	131	587.667	93
fra	19	47	120	30
fra	22	47	161	37
fra	24	60	191.667	45
fra	23	47	176	35
fra	32	77	341	56
fra	19	37	120	30
fra	22	55	161	39
fra	17	37	96	28
fra	11	23	40	17
fra	24	52	191.667	47
fra	18	47	107.667	29
fra	17	33	96	25
fra	49	138	800	96
fra	20	53	133	40
fra	12	18	47.6667	16
fra	37	127	456	71
fra	7	9	16	8
fra	25	47	208	41
fra	28	69	261	56
fra	15	25	74.6667	21
fra	11	21	40	14
fra	14	36	65	21
fra	11	25	40	15
fra	15	35	74.6667	22
fra	27	65	242.667	49
fra	11	22	40	16
fra	9	21	26.6667	15
fra	13	27	56	18
fra	30	86	299.667	64
fra	8	22	21	13
fra	9	18	26.6667	13
fra	14	24	65	20
fra	19	55	120	33
fra	15	39	74.6667	25
fra	27	68	242.667	55
fra	44	120	645	84
fra	33	72	362.667	62
fra	13	23	56	18
fra	7	12	16	8
fra	19	45	120	34
fra	14	31	65	21
fra	32	81	341	59
fra	18	34	107.667	29
fra	42	111	587.667	79
fra	11	17	40	15
fra	24	57	191.667	44
fra	16	32	85	25
fra	47	155	736	107
fra	33	78	362.667	56
fra	35	98	408	75
fra	20	49	133	34
fra	22	49	161	36
fra	21	45	146.667	35
fra	12	27	47.6667	19
fra	14	28	65	21
fra	18	40	107.667	31
fra	16	34	85	26
fra	26	70	225	43
fra	25	47	208	40
fra	18	33	107.667	28
fra	24	53	191.667	42
fra	18	41	107.667	26
fra	18	47	107.667	26
fra	12	30	47.6667	18
fra	28	114	261	60
fra	23	53	176	43
fra	22	47	161	32
fra	17	35	96	27
fra	28	62	261	42
fra	18	42	107.667	30
fra	10	17	33	13
fra	21	53	146.667	36
fra	25	65	208	42
fra	20	37	133	32
fra	7	9	16	8
fra	28	57	261	48
fra	27	66	242.667	50
fra	18	34	107.667	27
fra	19	36	120	31
fra	14	32	65	22
fra	8	14	21	11
fra	18	33	107.667	25
fra	17	44	96	26
fra	18	35	107.667	27
fra	24	58	191.667	49
fra	14	39	65	24
fra	35	77	408	63
fra	23	47	176	37
fra	22	55	161	39
fra	35	77	408	66
fra	23	52	176	42
fra	21	47	146.667	36
fra	16	33	85	27
fra	27	50	242.667	41
fra	27	60	242.667	42
fra	22	43	161	37
fra	25	65	208	48
fra	15	36	74.6667	22
fra	22	53	161	39
fra	35	110	408	63
fra	11	23	40	14
fra	40	124	533	80
fra	10	25	33	18
fra	25	64	208	44
fra	9	15	26.6667	11
fra	13	21	56	18
fra	18	41	107.667	29
fra	11	26	40	16
fra	23	56	176	40
fra	14	27	65	21
fra	22	60	161	39
fra	13	28	56	19
fra	20	41	133	32
fra	27	58	242.667	43
fra	24	73	191.667	38
fra	31	94	320	59
fra	11	31	40	14
fra	31	78	320	59
fra	26	57	225	40
fra	19	50	120	38
fra	26	63	225	44
fra	21	60	146.667	36
fra	16	33	85	23
fra	28	79	261	53
fra	26	80	225	48
fra	10	13	33	13
fra	17	45	96	26
fra	26	64	225	50
fra	27	68	242.667	51
fra	26	59	225	47
fra	16	35	85	23
fra	16	27	85	24
fra	25	71	208	43
fra	13	21	56	18
fra	28	75	261	51
fra	11	16	40	14
fra	26	56	225	48
fra	14	23	65	22
fra	14	29	65	22
fra	15	29	74.6667	24
fra	12	32	47.6667	19
fra	32	75	341	59
fra	20	61	133	34
fra	21	48	146.667	35
fra	17	38	96	25
fra	24	53	191.667	39
fra	22	47	161	33
fra	7	11	16	9
fra	17	43	96	25
fra	18	48	107.667	31
fra	30	89	299.667	56
fra	24	66	191.667	44
fra	16	32	85	25
fra	8	12	21	12
fra	12	19	47.6667	17
fra	12	20	47.6667	18
fra	26	54	225	44
fra	22	47	161	40
fra	21	44	146.667	35
fra	22	47	161	33
fra	19	39	120	31
fra	15	31	74.6667	23
fra	8	13	21	10
fra	17	42	96	28
fra	11	18	40	15
fra	6	9	11.6667	7
fra	23	43	176	37
fra	21	53	146.667	36
fra	18	39	107.667	26
fra	25	58	208	43
fra	18	37	107.667	31
fra	21	54	146.667	38
fra	7	10	16	8
fra	28	64	261	53
fra	33	71	362.667	55
fra	12	21	47.6667	16
fra	15	31	74.6667	24
fra	21	38	146.667	31
fra	29	68	280	55
fra	24	58	191.667	42
fra	22	49	161	43
fra	18	36	107.667	32
fra	23	40	176	37
fra	29	59	280	50
fra	12	26	47.6667	17
fra	36	87	431.667	71
fra	21	53	146.667	33
fra	20	47	133	38
fra	19	59	120	30
fra	21	46	146.667	31
fra	12	17	47.6667	17
fra	20	44	133	34
fra	21	51	146.667	37
fra	19	58	120	31
fra	19	38	120	32
fra	24	47	191.667	41
fra	28	79	261	53
fra	27	58	242.667	45
fra	17	38	96	27
fra	26	57	225	42
fra	15	43	74.6667	24
fra	26	55	225	42
fra	23	48	176	43
fra	24	68	191.667	45
fra	31	69	320	57
fra	27	69	242.667	54
fra	19	37	120	31
fra	19	38	120	29
fra	12	22	47.6667	19
fra	30	70	299.667	53
fra	26	58	225	47
fra	22	52	161	40
fra	18	45	107.667	32
fra	29	80	280	62
fra	29	76	280	59
fra	31	81	320	57
fra	40	135	533	83
fra	31	81	320	61
fra	36	118	431.667	73
fra	17	36	96	27
fra	17	32	96	27
fra	23	56	176	39
fra	24	58	191.667	43
fra	35	78	408	60
fra	19	41	120	32
fra	16	33	85	26
fra	23	49	176	40
fra	23	69	176	42
fra	21	40	146.667	36
fra	26	74	225	44
fra	35	112	408	76
fra	23	48	176	35
fra	30	67	299.667	54
fra	35	102	408	70
fra	18	34	107.667	29
fra	28	66	261	53
fra	17	26	96	25
fra	17	35	96	29
fra	30	69	299.667	53
fra	27	63	242.667	53
fra	34	106	385	70
fra	28	58	261	50
fra	31	76	320	63
fra	37	95	456	68
fra	35	88	408	62
fra	22	62	161	41
fra	20	42	133	32
fra	54	187	971.667	104
fra	23	46	176	35
deu	27	77	242.667	54
deu	18	62	107.667	28
deu	29	94	280	54
deu	34	118	385	61
deu	9	21	26.6667	12
deu	11	27	40	16
deu	7	12	16	8
deu	31	126	320	55
deu	21	103	146.667	43
deu	6	13	11.6667	7
deu	19	52	120	30
deu	22	61	161	43
deu	20	44	133	33
deu	20	48	133	30
deu	17	67	96	32
deu	15	41	74.6667	25
deu	11	50	40	17
deu	31	124	320	63
deu	13	41	56	25
deu	24	73	191.667	44
deu	19	44	120	28
deu	10	37	33	14
deu	28	134	261	55
deu	15	41	74.6667	24
deu	12	27	47.6667	16
deu	15	45	74.6667	25
deu	23	61	176	37
deu	20	58	133	33
deu	14	38	65	22
deu	30	110	299.667	56
deu	22	61	161	40
deu	15	43	74.6667	26
deu	17	32	96	27
deu	20	56	133	36
deu	17	43	96	28
deu	20	61	133	34
deu	21	58	146.667	33
deu	6	15	11.6667	9
deu	8	19	21	9
deu	11	27	40	16
deu	12	20	47.6667	17
deu	7	17	16	8
deu	14	43	65	22
deu	33	126	362.667	65
deu	32	91	341	58
deu	23	83	176	41
deu	13	26	56	19
deu	30	78	299.667	51
deu	20	73	133	30
deu	34	104	385	64
deu	14	50	65	22
deu	24	69	191.667	45
deu	13	54	56	20
deu	21	64	146.667	31
deu	13	46	56	20
deu	34	86	385	59
deu	37	153	456	73
deu	14	25	65	19
deu	21	63	146.667	35
deu	19	63	120	37
deu	17	55	96	32
deu	14	31	65	22
deu	11	32	40	16
deu	14	42	65	20
deu	12	23	47.6667	19
deu	5	7	8	5
deu	17	51	96	33
deu	20	87	133	35
deu	12	29	47.6667	17
deu	29	116	280	54
deu	21	50	146.667	34
deu	22	57	161	40
deu	21	67	146.667	38
deu	27	100	242.667	47
deu	13	29	56	17
deu	20	42	133	34
deu	16	42	85	24
deu	17	46	96	26
deu	29	68	280	49
deu	22	67	161	41
deu	14	53	65	22
deu	21	82	146.667	35
deu	29	82	280	53
deu	15	41	74.6667	21
deu	42	128	587.667	80
deu	22	60	161	36
deu	23	91	176	41
deu	24	67	191.667	43
deu	24	68	191.667	38
deu	24	59	191.667	41
deu	15	44	74.6667	23
deu	26	117	225	46
deu	30	131	299.667	52
deu	26	93	225	47
deu	32	100	341	59
deu	8	20	21	12
deu	18	37	107.667	30
deu	23	55	176	37
deu	17	37	96	28
deu	15	38	74.6667	23
deu	25	81	208	42
deu	25	112	208	42
deu	30	96	299.667	55
deu	16	39	85	24
deu	31	98	320	58
deu	19	47	120	27
deu	27	106	242.667	42
deu	25	79	208	48
deu	30	142	299.667	57
deu	27	104	242.667	51
deu	9	18	26.6667	13
deu	16	41	85	24
deu	20	53	133	34
deu	7	13	16	9
deu	34	138	385	57
deu	29	68	280	50
deu	18	55	107.667	29
deu	29	81	280	50
deu	6	7	11.6667	6
deu	15	35	74.6667	22
deu	10	20	33	14
deu	34	92	385	65
deu	18	48	107.667	29
deu	18	64	107.667	28
deu	5	9	8	5
deu	18	48	107.667	29
deu	17	40	96	27
deu	21	45	146.667	33
deu	14	38	65	22
deu	20	50	133	37
deu	15	47	74.6667	20
deu	19	56	120	27
deu	18	49	107.667	30
deu	11	28	40	18
deu	19	49	120	31
deu	7	17	16	8
deu	20	68	133	35
deu	26	85	225	43
deu	24	67	191.667	41
deu	14	29	65	20
deu	18	48	107.667	27
deu	26	80	225	41
deu	21	52	146.667	35
deu	27	70	242.667	58
deu	15	44	74.6667	21
deu	22	59	161	39
deu	16	35	85	23
deu	10	20	33	14
deu	4	4	5	3
deu	15	28	74.6667	21
deu	23	83	176	39
deu	21	71	146.667	36
deu	20	49	133	34
deu	12	25	47.6667	17
deu	20	60	133	36
deu	30	78	299.667	51
deu	19	42	120	30
deu	26	69	225	45
deu	15	34	74.6667	22
deu	9	15	26.6667	11
deu	14	28	65	21
deu	29	107	280	54
deu	19	57	120	31
deu	12	32	47.6667	16
deu	21	76	146.667	32
deu	18	53	107.667	27
deu	15	58	74.6667	22
deu	15	38	74.6667	25
deu	8	12	21	10
deu	14	42	65	26
deu	4	6	5	4
deu	22	67	161	38
deu	15	39	74.6667	25
deu	7	12	16	8
deu	23	55	176	38
deu	6	13	11.6667	7
deu	12	33	47.6667	16
deu	10	17	33	13
deu	17	48	96	29
deu	12	32	47.6667	19
deu	13	37	56	23
deu	19	46	120	38
deu	15	61	74.6667	26
deu	13	36	56	19
deu	20	76	133	36
deu	18	54	107.667	26
deu	6	14	11.6667	7
deu	7	13	16	10
deu	22	58	161	34
deu	14	38	65	25
deu	23	48	176	40
deu	22	59	161	38
deu	24	69	191.667	37
deu	8	26	21	12
deu	17	45	96	30
deu	17	47	96	29
deu	23	79	176	45
deu	18	51	107.667	25
deu	11	20	40	15
deu	18	56	107.667	31
deu	23	70	176	38
deu	9	30	26.6667	13
deu	28	95	261	47
deu	28	97	261	54
deu	10	18	33	13
deu	13	25	56	22
deu	18	38	107.667	30
deu	19	49	120	33
deu	4	6	5	4
deu	11	22	40	18
deu	13	57	56	21
deu	27	109	242.667	47
deu	7	12	16	8
deu	16	51	85	24
deu	16	54	85	28
deu	11	22	40	15
deu	16	45	85	26
deu	26	64	225	47
deu	29	74	280	57
deu	18	56	107.667	31
deu	22	66	161	36
deu	28	85	261	57
deu	7	13	16	9
deu	6	9	11.6667	7
deu	25	113	208	49
deu	25	89	208	43
deu	18	49	107.667	30
deu	24	129	191.667	42
deu	6	7	11.6667	6
deu	5	6	8	5
deu	28	88	261	54
deu	22	59	161	40
deu	7	12	16	8
deu	10	18	33	14
deu	24	75	191.667	39
deu	16	48	85	22
deu	19	68	120	32
deu	25	71	208	47
deu	10	21	33	15
deu	10	18	33	13
deu	8	14	21	10
deu	29	81	280	58
deu	24	71	191.667	43
deu	17	37	96	30
deu	15	55	74.6667	22
deu	24	70	191.667	40
deu	15	48	74.6667	23
deu	8	16	21	9
deu	18	47	107.667	29
deu	9	18	26.6667	12
deu	28	80	261	51
deu	12	31	47.6667	20
deu	20	79	133	38
deu	19	44	120	32
deu	11	27	40	16
deu	22	76	161	36
deu	14	37	65	21
deu	30	85	299.667	53
deu	18	69	107.667	27
deu	24	48	191.667	38
deu	20	87	133	33
deu	22	94	161	38
deu	15	35	74.6667	22
deu	16	55	85	28
deu	16	55	85	28
deu	21	50	146.667	33
deu	10	31	33	21
deu	25	87	208	46
deu	13	29	56	19
deu	17	45	96	25
deu	9	21	26.6667	13
deu	31	99	320	51
deu	23	109	176	42
deu	20	77	133	33
deu	8	19	21	9
deu	33	104	362.667	65
deu	16	41	85	25
deu	25	76	208	42
deu	26	83	225	48
deu	8	11	21	10
deu	20	61	133	36
deu	15	46	74.6667	25
deu	18	41	107.667	30
deu	14	33	65	22
deu	18	81	107.667	39
deu	14	30	65	20
deu	8	18	21	12
deu	11	28	40	16
deu	15	39	74.6667	26
deu	16	36	85	26
deu	19	37	120	29
deu	11	18	40	16
deu	7	16	16	10
deu	24	65	191.667	43
deu	16	39	85	23
deu	9	15	26.6667	11
deu	19	81	120	36
deu	4	5	5	3
deu	21	85	146.667	39
deu	16	41	85	25
deu	16	63	85	26
deu	13	34	56	21
deu	26	73	225	49
deu	18	40	107.667	28
deu	13	34	56	21
deu	24	54	191.667	40
deu	8	14	21	12
deu	16	48	85	26
deu	18	46	107.667	30
deu	22	66	161	38
deu	13	40	56	22
deu	17	49	96	28
deu	13	48	56	18
deu	8	12	21	10
deu	28	88	261	52
deu	18	42	107.667	31
deu	13	33	56	20
deu	23	73	176	42
deu	18	61	107.667	26
deu	20	51	133	33
deu	9	16	26.6667	13
deu	25	115	208	41
deu	15	38	74.6667	26
deu	19	55	120	29
deu	15	41	74.6667	26
